time, reward, loss, alpha, low beta, high beta, gamma, theta, mod1, mod2, mod3, mod4, mod5
1590792953.5866292, 0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 49, 49, 49, 49, 
1590792954.5866299, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 48, 48, 48, 48, 
1590792955.5866308, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 47, 47, 47, 47, 
1590792956.586632, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 48, 48, 48, 48, 
1590792957.586633, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 47, 47, 47, 47, 
1590792958.586634, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 48, 48, 48, 48, 
1590792959.586635, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 49, 49, 49, 49, 
1590792960.586636, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 48, 48, 48, 48, 
1590792961.586637, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 47, 47, 47, 47, 
1590792962.586638, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 48, 48, 48, 48, 
1590792963.5866392, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 47, 47, 47, 47, 
1590792964.58664, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 46, 46, 46, 46, 
1590792965.5866408, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 45, 45, 45, 45, 
1590792966.586642, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 44, 44, 44, 44, 
1590792967.586643, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 43, 43, 43, 43, 
1590792968.586644, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 44, 44, 44, 44, 
1590792969.586645, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 43, 43, 43, 43, 
1590792970.586646, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 44, 44, 44, 44, 
1590792971.586647, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 43, 43, 43, 43, 
1590792972.586648, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 44, 44, 44, 44, 
1590792973.5866492, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 43, 43, 43, 43, 
1590792974.5866501, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 42, 42, 42, 42, 
1590792975.5866508, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 41, 41, 41, 41, 
1590792976.5866518, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 40, 40, 40, 40, 
1590792977.586653, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 41, 41, 41, 41, 
1590792978.586654, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 40, 40, 40, 40, 
