time, reward, loss, alpha, low beta, high beta, gamma, theta, mod1, mod2, mod3, mod4, mod5
1590629362.5985432, 0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 401, 401, 401, 401, 
1590629362.698544, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 400, 400, 400, 400, 
1590629362.798545, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 401, 401, 401, 401, 
1590629362.898546, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 402, 402, 402, 402, 
1590629362.9985468, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 401, 401, 401, 401, 
1590629363.098547, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 402, 402, 402, 402, 
1590629363.198548, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 401, 401, 401, 401, 
1590629363.298549, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 400, 400, 400, 400, 
1590629363.398549, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 399, 399, 399, 399, 
1590629363.49855, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 400, 400, 400, 400, 
1590629363.59855, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 401, 401, 401, 401, 
1590629363.698551, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 400, 400, 400, 400, 
1590629363.798551, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 401, 401, 401, 401, 
1590629363.8985522, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 400, 400, 400, 400, 
1590629363.998553, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 399, 399, 399, 399, 
1590629364.0985532, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 398, 398, 398, 398, 
1590629364.198554, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 399, 399, 399, 399, 
1590629364.2985542, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 400, 400, 400, 400, 
1590629364.3985548, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 399, 399, 399, 399, 
1590629364.498555, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 398, 398, 398, 398, 
1590629364.5985558, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 399, 399, 399, 399, 
1590629364.698556, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 398, 398, 398, 398, 
1590629364.798557, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 399, 399, 399, 399, 
1590629364.898558, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 398, 398, 398, 398, 
1590629364.998558, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 397, 397, 397, 397, 
1590629365.098559, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 398, 398, 398, 398, 
1590629365.198559, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 399, 399, 399, 399, 
1590629365.29856, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 398, 398, 398, 398, 
1590629365.39856, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 397, 397, 397, 397, 
1590629365.498561, 0.0, 63.09954071044922, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 396, 396, 396, 396, 
1590629365.598561, 0.0, 53.25114059448242, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 395, 395, 395, 395, 
1590629365.6985621, 0.0, 40.962913513183594, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 394, 394, 394, 394, 
1590629365.798563, 0.0, 27.938392639160156, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 393, 393, 393, 393, 
1590629365.8985631, 0.0, 22.433900833129883, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 392, 392, 392, 392, 
1590629365.998564, 0.0, 14.991893768310547, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 391, 391, 391, 391, 
1590629366.0985641, 0.0, 7.885552883148193, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 392, 392, 392, 392, 
1590629366.198565, 0.0, 1.7693065404891968, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 393, 393, 393, 393, 
1590629366.2985651, 0.0, 5.8161163330078125, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 392, 392, 392, 392, 
